Sub-cate,Merchant id,Merchant name,App id,Date,TPV,Transaction,Transaction type,SOF
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-09,425599,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-09,1220864,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-10,3407388,59,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-10,3011386,52,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-10,447375,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-10,1283330,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-11,3387768,58,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-11,2994047,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-11,444798,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-11,1275941,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-12,3277973,57,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-12,2897012,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-12,430383,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-12,1234587,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-13,3454739,60,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-13,3053234,53,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-13,453591,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-13,1301164,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-14,3592501,62,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-14,3174986,55,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-14,471679,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-14,1353050,24,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-15,3707149,64,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-15,3276309,57,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-15,486732,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-15,1396229,24,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-16,3274562,57,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-16,2893997,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-16,429935,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-16,1233304,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-17,3321029,58,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-17,2935064,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-17,436036,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-17,1250804,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-18,3299293,57,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-18,2915854,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-18,433182,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-18,1242618,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-19,3305884,57,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-19,2921679,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-19,434047,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-19,1245101,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-20,3427078,59,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-20,3028788,52,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-20,449960,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-20,1290746,23,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-21,3675303,64,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-21,3248165,56,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-21,482551,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-21,1384235,24,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-22,3674196,63,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-22,3247186,56,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-22,482405,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-22,1383818,24,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-23,3276602,57,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-23,2895800,50,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-23,430203,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-23,1234071,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-24,3352853,58,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-24,2963189,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-24,440214,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-24,1262790,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-25,3274604,57,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-25,2894034,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-25,429941,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-25,1233319,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-26,3233551,56,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-26,2857753,50,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-26,424550,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-26,1217858,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-27,3416438,59,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-27,3019385,52,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-27,448563,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-27,1286739,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-28,3662740,64,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-28,3237062,57,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-28,480901,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-02-28,1379504,24,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-01,3641641,63,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-01,3218415,56,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-01,478131,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-01,1371556,24,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-02,3288063,57,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-02,2905929,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-02,431708,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-02,1238388,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-03,3362746,58,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-03,2971933,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-03,441513,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-03,1266517,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-04,3303963,57,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-04,2919982,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-04,433795,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-04,1244377,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-05,3386934,58,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-05,2993310,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-05,444689,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-05,1275626,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-06,3479061,60,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-06,3074729,53,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-06,456785,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-06,1310324,23,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-07,3653843,64,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-07,3229199,56,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-07,479733,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-07,1376153,24,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-08,3692227,64,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-08,3263122,57,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-08,484772,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-08,1390609,24,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-09,3331406,57,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-09,2944235,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-09,437398,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-09,1254713,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-10,3292390,57,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-10,2909754,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-10,432276,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-10,1240018,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-11,3251209,57,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-11,2873359,50,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-11,426869,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-11,1224508,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-12,3336596,58,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-12,2948822,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-12,438080,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-12,1256667,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-13,3476496,60,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-13,3072463,53,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-13,456448,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-13,1309358,23,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-14,3674542,63,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-14,3247492,56,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-14,482451,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-14,1383949,24,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-15,3594524,62,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-15,3176774,55,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-15,471944,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-15,1353811,24,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-16,3327553,57,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-16,2940829,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-16,436892,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-16,1253262,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-17,3358129,58,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-17,2967852,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-17,440907,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-17,1264777,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-18,3376481,58,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-18,2984071,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-18,443317,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-18,1271689,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-19,3309213,57,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-19,2924621,50,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-19,434485,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-19,1246354,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-20,3439618,59,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-20,3039871,52,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-20,451606,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-20,1295469,23,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-21,3669068,64,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-21,3242655,56,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-21,481732,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-21,1381887,24,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-22,3653375,63,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-22,3228786,55,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-22,479671,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-22,1375977,24,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-23,3401518,59,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-23,3006198,52,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-23,446604,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-23,1281119,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-24,3277177,57,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-24,2896309,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-24,430278,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-24,1234289,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-25,3281751,57,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-25,2900351,50,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-25,430879,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-25,1236011,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-26,3273853,56,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-26,2893370,50,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-26,429842,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-26,1233036,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-27,3447281,60,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-27,3046643,53,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-27,452612,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-27,1298356,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-28,3535731,62,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-28,3124814,55,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-28,464225,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-28,1331668,23,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-29,3675320,63,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-29,3248179,56,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-29,482553,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-29,1384241,24,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-30,3276864,56,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-30,2896032,50,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-30,430237,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-30,1234170,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-31,3289802,57,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-31,2907466,50,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-31,431936,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-03-31,1239043,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-01,3360512,58,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-01,2969959,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-01,441220,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-01,1265675,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-02,3339136,58,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-02,2951067,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-02,438413,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-02,1257624,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-03,3413857,59,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-03,3017104,52,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-03,448224,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-03,1285766,23,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-04,3663466,63,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-04,3237704,56,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-04,480996,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-04,1379778,24,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-05,3691495,64,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-05,3262475,57,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-05,484676,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-05,1390334,24,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-06,3305798,58,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-06,2921603,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-06,434036,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-06,1245069,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-07,3263453,56,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-07,2884179,50,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-07,428476,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-07,1229120,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-08,3403785,59,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-08,3008202,52,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-08,446901,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-08,1281973,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-09,3278509,57,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-09,2897486,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-09,430453,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-09,1234790,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-10,3529482,61,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-10,3119291,54,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-10,463405,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-10,1329314,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-11,3698401,64,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-11,3268578,56,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-11,485583,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-11,1392934,24,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-12,3613325,63,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-12,3193390,55,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-12,474413,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-12,1360892,24,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-13,3355592,58,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-13,2965610,51,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-13,440574,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-13,1263823,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-14,3226067,56,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-14,2851138,50,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-14,423568,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-14,1215039,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-15,3282989,56,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-15,2901445,50,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-15,431041,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-15,1236477,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-16,3247756,56,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-16,2870307,50,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-16,426415,7,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-16,1223208,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-17,3469376,60,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-17,3066170,53,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-17,455513,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-17,1306677,22,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-18,3572172,62,Payment Gateway,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-18,3157020,55,VietQR,
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-18,469010,8,Wallet,Paylater
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-18,1345393,23,Wallet,Others
Coffee & Tea,100001,Cafe Workspace,2001,2026-04-19,3605480,63,Payment Gateway,
